file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,class,8,4,21,0.0,0.93333334,378,0,85,5,2,15,80,0.0,-1.0,49.0,4.0,0.0754717,-1.0,21.0,69,8.0,4.0,21.0,0.0,0.93333334,378.0,0.0,85.0,5.0,2.0,15.0,80.0,0.0,-1.0,49.0,4.0,0.0754717,-1.0,21.0,69.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\HexDump.java,hudson.cli.HexDump,class,1,3,2,0.0,0.5,41,0,5,0,1,2,10,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,8,1.0,3.0,2.0,0.0,0.5,41.0,0.0,5.0,0.0,1.0,2.0,10.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,8.0
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java,hudson.cli.PlainCLIProtocolTest,class,5,0,5,,0.0,96,0,8,2,0,1,4,0.0,-1.0,9.0,0.0,0.0,-1.0,3.0,38,5.0,0.0,5.0,,0.0,96.0,0.0,8.0,2.0,0.0,1.0,4.0,0.0,-1.0,9.0,0.0,0.0,-1.0,3.0,38.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\DiagnosedStreamCorruptionException.java,hudson.cli.DiagnosedStreamCorruptionException,class,6,1,2,1.0,0.4,35,0,11,0,3,5,6,0.0,0.0,0.0,9.0,1.0,-1.0,0.0,14,6.0,1.0,2.0,1.0,0.4,35.0,0.0,11.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,9.0,1.0,-1.0,0.0,14.0
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java,hudson.cli.PlainCLIProtocolTest$1Client,innerclass,3,0,3,0.0,0.85714287,29,0,9,0,2,7,7,11.0,0.6666667,1.0,1.0,0.5,0.0,1.0,44,3.0,0.0,3.0,0.0,0.85714287,29.0,0.0,9.0,0.0,2.0,7.0,7.0,11.0,0.6666667,1.0,1.0,0.5,0.0,1.0,44.0
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java,hudson.cli.PlainCLIProtocolTest$1Server,innerclass,3,0,3,0.0,0.8999999,36,0,8,0,3,10,10,14.0,0.7777778,1.0,2.0,0.6666667,0.0,1.0,75,3.0,0.0,3.0,0.0,0.8999999,36.0,0.0,8.0,0.0,3.0,10.0,10.0,14.0,0.7777778,1.0,2.0,0.6666667,0.0,1.0,75.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\SSHCLI.java,hudson.cli.SSHCLI$90,anonymous,1,0,1,,0.0,6,0,2,0,0,1,1,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,90,1.0,0.0,1.0,,0.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,90.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI$NotTalkingToJenkinsException,innerclass,4,0,0,0.0,0.0,8,0,2,0,0,2,2,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,84,4.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,84.0
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\cli\PrivateKeyProviderTest.java,hudson.cli.PrivateKeyProviderTest,class,1,1,4,0.0,0.0,55,0,10,0,0,11,11,0.0,-1.0,35.0,0.0,0.0,-1.0,7.0,22,1.0,1.0,4.0,0.0,0.0,55.0,0.0,10.0,0.0,0.0,11.0,11.0,0.0,-1.0,35.0,0.0,0.0,-1.0,7.0,22.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\NoCheckTrustManager.java,hudson.cli.NoCheckTrustManager,class,1,1,1,0.0,0.0,9,0,0,0,0,3,3,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,12,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,12.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\FlightRecorderInputStream.java,hudson.cli.FlightRecorderInputStream$ByteArrayRingBuffer,innerclass,2,0,2,1.0,0.125,46,0,3,0,3,4,10,0.0,0.0,0.0,35.0,1.0,-1.0,0.0,130,2.0,0.0,2.0,1.0,0.125,46.0,0.0,3.0,0.0,3.0,4.0,10.0,0.0,0.0,0.0,35.0,1.0,-1.0,0.0,130.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\util\QuotedStringTokenizer.java,hudson.util.QuotedStringTokenizer,class,2,8,1,0.121212125,0.89772725,273,0,18,0,12,22,104,0.0,0.0,2.0,43.0,0.95555556,-1.0,1.0,55,2.0,8.0,1.0,0.121212125,0.89772725,273.0,0.0,18.0,0.0,12.0,22.0,104.0,0.0,0.0,2.0,43.0,0.95555556,-1.0,1.0,55.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$Output,interface,1,0,1,,0.0,3,0,0,0,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,82,1.0,0.0,1.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,82.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$ServerSide,innerclass,2,0,5,0.0,0.0,45,0,10,0,0,11,17,8.0,0.1,10.0,0.0,0.0,0.25,1.0,255,2.0,0.0,5.0,0.0,0.0,45.0,0.0,10.0,0.0,0.0,11.0,17.0,8.0,0.1,10.0,0.0,0.0,0.25,1.0,255.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI$382,anonymous,1,0,1,,0.0,15,0,6,0,0,1,3,0.0,0.0,4.0,0.0,0.0,-1.0,3.0,382,1.0,0.0,1.0,,0.0,15.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,-1.0,3.0,382.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\FullDuplexHttpStream.java,hudson.cli.FullDuplexHttpStream,class,1,2,3,1.0,0.68,69,0,23,0,5,5,12,0.0,-1.0,13.0,6.0,0.31578946,-1.0,3.0,20,1.0,2.0,3.0,1.0,0.68,69.0,0.0,23.0,0.0,5.0,5.0,12.0,0.0,-1.0,13.0,6.0,0.31578946,-1.0,3.0,20.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$ClientSide,innerclass,2,0,5,0.0,0.0,42,0,8,0,0,11,14,8.0,0.1,10.0,0.0,0.0,0.375,1.0,314,2.0,0.0,5.0,0.0,0.0,42.0,0.0,8.0,0.0,0.0,11.0,14.0,8.0,0.1,10.0,0.0,0.0,0.375,1.0,314.0
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\cli\CLIConnectionFactoryTest.java,hudson.cli.CLIConnectionFactoryTest,class,1,0,3,1.0,0.0,12,0,3,0,1,3,3,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0,7,1.0,0.0,3.0,1.0,0.0,12.0,0.0,3.0,0.0,1.0,3.0,3.0,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0,7.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLIConnectionFactory.java,hudson.cli.CLIConnectionFactory,class,1,3,1,1.0,0.0,16,0,5,0,1,4,4,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0,10,1.0,3.0,1.0,1.0,0.0,16.0,0.0,5.0,0.0,1.0,4.0,4.0,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0,10.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$FramedOutput,innerclass,1,0,2,1.0,0.0,14,0,4,0,1,3,3,0.0,-1.0,1.0,1.0,0.5,-1.0,1.0,86,1.0,0.0,2.0,1.0,0.0,14.0,0.0,4.0,0.0,1.0,3.0,3.0,0.0,-1.0,1.0,1.0,0.5,-1.0,1.0,86.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI$179,anonymous,1,0,1,,0.0,5,0,0,0,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,179,1.0,0.0,1.0,,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,179.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\FlightRecorderInputStream.java,hudson.cli.FlightRecorderInputStream,class,3,2,5,0.46666667,0.6666667,111,0,17,1,3,10,14,0.0,0.0,1.0,4.0,0.8,-1.0,1.0,19,3.0,2.0,5.0,0.46666667,0.6666667,111.0,0.0,17.0,1.0,3.0,10.0,14.0,0.0,0.0,1.0,4.0,0.8,-1.0,1.0,19.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$Op,enum,1,0,0,,0.0,15,0,0,0,1,1,1,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,56,1.0,0.0,0.0,,0.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,56.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI$1CLIEndpoint,innerclass,2,0,3,,0.0,4,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,334,2.0,0.0,3.0,,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,334.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI$1Authenticator,innerclass,2,0,1,,0.0,7,0,2,0,0,1,2,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,338,2.0,0.0,1.0,,0.0,7.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,338.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$EitherSide,innerclass,1,0,6,0.054545455,0.72727275,61,0,13,0,1,11,14,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0,177,1.0,0.0,6.0,0.054545455,0.72727275,61.0,0.0,13.0,0.0,1.0,11.0,14.0,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0,177.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\FlightRecorderInputStream.java,hudson.cli.FlightRecorderInputStream$56,anonymous,1,0,0,,0.0,13,0,3,0,0,1,4,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,56,1.0,0.0,0.0,,0.0,13.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,56.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$FramedReader,innerclass,2,0,4,1.0,0.0,62,0,9,0,4,2,11,0.0,0.0,7.0,8.0,0.53333336,-1.0,2.0,108,2.0,0.0,4.0,1.0,0.0,62.0,0.0,9.0,0.0,4.0,2.0,11.0,0.0,0.0,7.0,8.0,0.53333336,-1.0,2.0,108.0
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\cli\HexDumpTest.java,hudson.cli.HexDumpTest,class,1,0,7,0.0,0.0,14,0,5,0,0,4,4,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,16,1.0,0.0,7.0,0.0,0.0,14.0,0.0,5.0,0.0,0.0,4.0,4.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,16.0
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\util\QuotedStringTokenizerTest.java,hudson.util.QuotedStringTokenizerTest,class,1,1,3,0.0,0.0,34,0,8,0,0,9,9,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,35,1.0,1.0,3.0,0.0,0.0,34.0,0.0,8.0,0.0,0.0,9.0,9.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,35.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\SSHCLI.java,hudson.cli.SSHCLI,class,1,2,14,,0.0,62,0,37,0,0,3,7,0.0,-1.0,23.0,0.0,0.0,-1.0,12.0,62,1.0,2.0,14.0,,0.0,62.0,0.0,37.0,0.0,0.0,3.0,7.0,0.0,-1.0,23.0,0.0,0.0,-1.0,12.0,62.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI$349,anonymous,1,0,1,0.0,0.0,8,0,4,0,0,2,2,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,349,1.0,0.0,1.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,349.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$EitherSide$232,anonymous,1,0,3,0.0,0.0,11,0,2,0,0,3,3,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,232,1.0,0.0,3.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,232.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI$Mode,enum,1,0,0,-1.0,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,107,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,107.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI$ClientSideImpl,innerclass,3,0,4,0.04761905,0.75,54,0,13,0,2,8,10,11.0,0.5714286,2.0,5.0,0.71428573,0.0,2.0,402,3.0,0.0,4.0,0.04761905,0.75,54.0,0.0,13.0,0.0,2.0,8.0,10.0,11.0,0.5714286,2.0,5.0,0.71428573,0.0,2.0,402.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI$ClientSideImpl$418,anonymous,1,0,1,,0.0,15,0,5,0,0,1,4,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,418,1.0,0.0,1.0,,0.0,15.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,418.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol,class,7,1,3,-1.0,1.0,252,0,2,8,1,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,51,7.0,1.0,3.0,-1.0,1.0,252.0,0.0,2.0,8.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,51.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol$ProtocolException,innerclass,4,0,0,,0.0,5,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,171,4.0,0.0,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,171.0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\PrivateKeyProvider.java,hudson.cli.PrivateKeyProvider,class,1,4,4,0.2,0.7777778,66,0,32,0,2,9,18,0.0,-1.0,6.0,1.0,0.14285715,-1.0,6.0,58,1.0,4.0,4.0,0.2,0.7777778,66.0,0.0,32.0,0.0,2.0,9.0,18.0,0.0,-1.0,6.0,1.0,0.14285715,-1.0,6.0,58.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\ParametersAction.java,hudson.model.ParametersAction,class,1,7,24,0.22105263,0.826087,182,0,43,0,8,23,62,0.0,-1.0,16.0,45.0,0.73770493,-1.0,8.0,66,1.0,7.0,24.0,0.22105263,0.826087,182.0,0.0,43.0,0.0,8.0,23.0,62.0,0.0,-1.0,16.0,45.0,0.73770493,-1.0,8.0,66.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\tools\ToolLocationNodeProperty.java,hudson.tools.ToolLocationNodeProperty$DescriptorImpl,innerclass,4,0,7,0.0,0.0,14,0,6,0,0,4,5,6.0,0.5,5.0,0.0,0.0,0.0,5.0,120,4.0,0.0,7.0,0.0,0.0,14.0,0.0,6.0,0.0,0.0,4.0,5.0,6.0,0.5,5.0,0.0,0.0,0.0,5.0,120.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\Futures.java,hudson.util.Futures,class,1,1,3,,0.0,22,0,0,0,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,35,1.0,1.0,3.0,,0.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,35.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\TcpSlaveAgentListener.java,hudson.TcpSlaveAgentListener$TcpSlaveAgentListenerRescheduler,innerclass,2,0,6,0.8,0.525,60,0,9,0,4,10,14,2.0,0.375,6.0,20.0,0.7692308,0.0,3.0,452,2.0,0.0,6.0,0.8,0.525,60.0,0.0,9.0,0.0,4.0,10.0,14.0,2.0,0.375,6.0,20.0,0.7692308,0.0,3.0,452.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\AbstractCIBase.java,hudson.model.AbstractCIBase,class,2,6,18,0.010989011,0.88888884,139,0,35,0,3,15,27,9.0,0.06666667,25.0,10.0,0.2857143,0.11111111,9.0,44,2.0,6.0,18.0,0.010989011,0.88888884,139.0,0.0,35.0,0.0,3.0,15.0,27.0,9.0,0.06666667,25.0,10.0,0.2857143,0.11111111,9.0,44.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\TransientProjectActionFactory.java,hudson.model.TransientProjectActionFactory,class,1,4,4,0.0,0.0,6,2,1,0,0,2,2,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,55,1.0,4.0,4.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,55.0
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\triggers\SCMTriggerTest.java,hudson.triggers.SCMTriggerTest,class,1,0,18,,0.0,8,0,2,0,0,1,1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,32,1.0,0.0,18.0,,0.0,8.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,32.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\FormFieldValidator.java,hudson.util.FormFieldValidator$WorkspaceFilePath,innerclass,2,0,7,0.33333334,0.33333334,53,0,12,0,2,3,15,6.0,0.5,4.0,7.0,0.6363636,0.16666667,3.0,439,2.0,0.0,7.0,0.33333334,0.33333334,53.0,0.0,12.0,0.0,2.0,3.0,15.0,6.0,0.5,4.0,7.0,0.6363636,0.16666667,3.0,439.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\OneShotEvent.java,hudson.util.OneShotEvent,class,1,0,0,1.0,0.16666667,32,0,3,0,2,6,9,0.0,-1.0,0.0,11.0,1.0,-1.0,0.0,40,1.0,0.0,0.0,1.0,0.16666667,32.0,0.0,3.0,0.0,2.0,6.0,9.0,0.0,-1.0,0.0,11.0,1.0,-1.0,0.0,40.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\Fingerprint.java,hudson.model.Fingerprint$ProjectRenameListener,innerclass,2,0,8,,0.0,26,0,9,0,0,2,7,0.0,0.5,8.0,0.0,0.0,-1.0,6.0,830,2.0,0.0,8.0,,0.0,26.0,0.0,9.0,0.0,0.0,2.0,7.0,0.0,0.5,8.0,0.0,0.0,-1.0,6.0,830.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\RemotingDiagnostics.java,hudson.util.RemotingDiagnostics,class,5,1,11,0.0,0.0,104,0,4,5,0,5,8,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,69,5.0,1.0,11.0,0.0,0.0,104.0,0.0,4.0,5.0,0.0,5.0,8.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,69.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\jelly\MorphTagLibrary.java,hudson.util.jelly.MorphTagLibrary$56,anonymous,1,0,7,,0.0,51,0,29,0,0,3,20,0.0,0.0,13.0,1.0,0.071428575,-1.0,6.0,56,1.0,0.0,7.0,,0.0,51.0,0.0,29.0,0.0,0.0,3.0,20.0,0.0,0.0,13.0,1.0,0.071428575,-1.0,6.0,56.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\DirectoryBrowserSupport.java,hudson.model.DirectoryBrowserSupport,class,2,5,17,0.6666667,0.88142294,499,0,117,3,11,23,100,0.0,-1.0,67.0,27.0,0.28723404,-1.0,17.0,80,2.0,5.0,17.0,0.6666667,0.88142294,499.0,0.0,117.0,3.0,11.0,23.0,100.0,0.0,-1.0,67.0,27.0,0.28723404,-1.0,17.0,80.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\TableNestChecker.java,hudson.util.TableNestChecker$InList,innerclass,1,0,1,,0.0,9,0,2,0,1,2,2,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,107,1.0,0.0,1.0,,0.0,9.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,107.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\security\s2m\FilePathRule.java,jenkins.security.s2m.FilePathRule,class,1,1,1,,0.0,10,0,0,0,3,1,1,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,12,1.0,1.0,1.0,,0.0,10.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,12.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\slaves\systemInfo\SlaveSystemInfo.java,jenkins.slaves.systemInfo.SlaveSystemInfo,class,1,5,4,0.0,0.0,9,4,1,0,0,3,3,0.0,-1.0,1.0,1.0,0.5,-1.0,1.0,19,1.0,5.0,4.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,3.0,3.0,0.0,-1.0,1.0,1.0,0.5,-1.0,1.0,19.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\Launcher.java,hudson.Launcher$RemoteLauncher,innerclass,4,0,19,0.04761905,0.71428573,105,0,9,2,1,7,16,7.0,0.8333333,24.0,11.0,0.31428573,0.5714286,6.0,1090,4.0,0.0,19.0,0.04761905,0.71428573,105.0,0.0,9.0,2.0,1.0,7.0,16.0,7.0,0.8333333,24.0,11.0,0.31428573,0.5714286,6.0,1090.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\triggers\ReverseBuildTrigger.java,jenkins.triggers.ReverseBuildTrigger,class,5,4,21,0.35714287,0.7037037,190,0,24,3,3,9,18,4.0,0.2857143,20.0,11.0,0.3548387,0.25,9.0,88,5.0,4.0,21.0,0.35714287,0.7037037,190.0,0.0,24.0,3.0,3.0,9.0,18.0,4.0,0.2857143,20.0,11.0,0.3548387,0.25,9.0,88.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\FilePath.java,hudson.FilePath$FileCallableWrapper,innerclass,1,0,5,1.0,0.5,30,0,6,0,3,6,7,0.0,-1.0,3.0,5.0,0.625,-1.0,3.0,3301,1.0,0.0,5.0,1.0,0.5,30.0,0.0,6.0,0.0,3.0,6.0,7.0,0.0,-1.0,3.0,5.0,0.625,-1.0,3.0,3301.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\ViewProperty.java,hudson.model.ViewProperty,class,1,11,9,0.0,0.75,15,8,6,0,1,4,5,0.0,-1.0,5.0,3.0,0.375,-1.0,2.0,49,1.0,11.0,9.0,0.0,0.75,15.0,8.0,6.0,0.0,1.0,4.0,5.0,0.0,-1.0,5.0,3.0,0.375,-1.0,2.0,49.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\Fingerprint.java,hudson.model.Fingerprint$1502,anonymous,1,0,0,,0.0,5,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1502,1.0,0.0,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1502.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\PackedMap.java,hudson.util.PackedMap$ConverterImpl,innerclass,2,0,5,0.0,0.0,14,0,2,0,0,4,5,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,159,2.0,0.0,5.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,159.0
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\util\DescribableListTest.java,hudson.util.DescribableListTest$Datum,innerclass,2,0,5,0.33333334,0.33333334,26,0,1,1,1,3,3,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,61,2.0,0.0,5.0,0.33333334,0.33333334,26.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,61.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\os\SU.java,hudson.os.SU,class,1,2,8,0.0,0.0,70,0,9,1,0,4,8,0.0,-1.0,6.0,0.0,0.0,-1.0,5.0,60,1.0,2.0,8.0,0.0,0.0,70.0,0.0,9.0,1.0,0.0,4.0,8.0,0.0,-1.0,6.0,0.0,0.0,-1.0,5.0,60.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\security\stapler\DoActionFilter.java,jenkins.security.stapler.DoActionFilter,class,1,2,13,,0.0,65,0,23,0,2,1,20,0.0,-1.0,21.0,0.0,0.0,-1.0,8.0,41,1.0,2.0,13.0,,0.0,65.0,0.0,23.0,0.0,2.0,1.0,20.0,0.0,-1.0,21.0,0.0,0.0,-1.0,8.0,41.0
