file,class,type,line,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\plugin\PluginTest.java,org.apache.ibatis.plugin.PluginTest$AlwaysMapPlugin,innerclass,43,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,9,9,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\session\Configuration.java,org.apache.ibatis.session.Configuration$StrictMap,innerclass,948,3,3,0,3,14,3,0,8,0,0.6666667,0.7619048,1.0,8,0,7,1,0,0,7,0,0,0,3,1,0,3,0,0,2,0,0,63,4,0,3,0,2,8,2,9,4,6,2,0,1,0,68,12,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\dynsql\DynSqlMapper.java,org.apache.ibatis.submitted.dynsql.DynSqlMapper,interface,22,2,3,1,2,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\lazyload_proxyfactory_comparison\Mapper.java,org.apache.ibatis.submitted.lazyload_proxyfactory_comparison.Mapper,interface,20,7,8,1,7,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\resultmapwithassociationstest\Address.java,org.apache.ibatis.submitted.resultmapwithassociationstest.Address,class,22,0,1,1,0,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\use_actual_param_name\Mapper.java,org.apache.ibatis.submitted.use_actual_param_name.Mapper,interface,22,2,3,1,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\language\Parameter.java,org.apache.ibatis.submitted.language.Parameter,class,18,0,2,2,0,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\sqlprovider\BaseMapper.java,org.apache.ibatis.submitted.sqlprovider.BaseMapper,interface,31,9,11,2,9,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,16,0,0,0,0,0,0,0,0,28,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\TypeHandlerRegistryTest.java,org.apache.ibatis.type.TypeHandlerRegistryTest$1MyDate,innerclass,140,0,0,0,0,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\executor\parameter\ParameterHandler.java,org.apache.ibatis.executor.parameter.ParameterHandler,interface,26,0,10,10,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\executor\loader\ResultLoaderMap.java,org.apache.ibatis.executor.loader.ResultLoaderMap$ClosedExecutor,innerclass,282,8,8,0,8,6,2,0,0,15,0.0,0.0,0.0,6,0,2,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,4,0,0,0,0,0,0,0,0,29,26,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\session\SqlSessionTest.java,org.apache.ibatis.session.SqlSessionTest$TestResultHandler,innerclass,664,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7,10,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\emptycollection\TodoItem.java,org.apache.ibatis.submitted.emptycollection.TodoItem,class,18,0,2,2,0,5,1,0,0,0,0.4,0.6,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,19,3,0,0,0,0,3,0,2,1,2,0,0,0,0,10,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\bringrags\SimpleChildObjectMapper.java,org.apache.ibatis.submitted.bringrags.SimpleChildObjectMapper,interface,18,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\global_variables\User.java,org.apache.ibatis.submitted.global_variables.User,class,18,0,3,3,0,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\type\DateOnlyTypeHandler.java,org.apache.ibatis.type.DateOnlyTypeHandler,class,27,2,4,2,2,7,3,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,3,0,0,0,0,3,0,3,1,0,0,0,28,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\binding\MapperMethodParamTest.java,org.apache.ibatis.binding.MapperMethodParamTest$Mapper,interface,74,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,16,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\blocking_cache\PersonMapper.java,org.apache.ibatis.submitted.blocking_cache.PersonMapper,interface,24,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\executor\ExecutionPlaceholder.java,org.apache.ibatis.executor.ExecutionPlaceholder,enum,21,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\criterion\CriterionTest.java,org.apache.ibatis.submitted.criterion.CriterionTest,class,32,6,6,0,6,2,1,0,13,0,0.0,1.0,1.0,2,1,0,0,0,2,2,0,0,0,1,1,0,0,1,0,0,0,0,20,0,0,0,2,0,5,1,6,0,6,1,0,0,0,24,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\not_null_column\Base.java,org.apache.ibatis.submitted.not_null_column.Base,class,20,0,2,2,0,4,1,2,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1025,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\xml_external_ref\ResultMapReferencePersonMapper.java,org.apache.ibatis.submitted.xml_external_ref.ResultMapReferencePersonMapper,interface,18,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\global_variables_defaults\CustomizationTest.java,org.apache.ibatis.submitted.global_variables_defaults.CustomizationTest,class,37,9,9,0,9,2,1,0,24,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0,2,4,27,0,14,0,14,1,0,1,0,41,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\type\SqlDateTypeHandler.java,org.apache.ibatis.type.SqlDateTypeHandler,class,27,2,4,2,2,4,3,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\reflection\TypeParameterResolverTest.java,org.apache.ibatis.reflection.TypeParameterResolverTest$1D,innerclass,428,1,1,0,1,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\result_handler\Mapper.java,org.apache.ibatis.submitted.result_handler.Mapper,interface,21,4,5,1,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\lazyload_proxyfactory_comparison\UserWithNothingWithInterface.java,org.apache.ibatis.submitted.lazyload_proxyfactory_comparison.UserWithNothingWithInterface,class,18,2,4,2,2,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,14,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\param_name_resolve\ActualParamNameTest.java,org.apache.ibatis.submitted.param_name_resolve.ActualParamNameTest$Mapper,interface,95,1,1,0,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,30,0,0,0,0,0,0,0,0,27,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\inheritance\UserProfileMapper.java,org.apache.ibatis.submitted.inheritance.UserProfileMapper,interface,20,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\session\defaults\DefaultSqlSessionFactory.java,org.apache.ibatis.session.defaults.DefaultSqlSessionFactory,class,37,14,16,2,14,21,1,0,16,35,0.42857143,0.33333334,0.33333334,14,0,10,4,0,0,10,0,0,0,1,0,0,1,0,0,1,0,4,87,13,0,3,4,0,2,0,12,2,10,2,0,0,0,40,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\collectionparameters\Mapper.java,org.apache.ibatis.submitted.collectionparameters.Mapper,interface,21,1,2,1,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\mapping\ResultMappingTest.java,org.apache.ibatis.mapping.ResultMappingTest,class,26,6,6,0,6,2,1,0,4,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,1,1,0,0,2,24,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\exceptions\GeneralExceptionsTest.java,org.apache.ibatis.exceptions.GeneralExceptionsTest,class,38,16,17,1,16,6,1,0,10,4,0.5,0.0,0.0,4,0,0,2,0,2,2,0,0,0,2,2,0,2,0,0,2,0,0,34,0,1,0,1,0,3,0,8,0,5,1,0,0,0,40,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\builder\CustomStringTypeHandler.java,org.apache.ibatis.builder.CustomStringTypeHandler,class,26,2,4,2,2,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\duplicate_resource_loaded\Mapper.java,org.apache.ibatis.submitted.duplicate_resource_loaded.Mapper,interface,21,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\mapping\Discriminator.java,org.apache.ibatis.mapping.Discriminator$Builder,innerclass,34,3,3,0,3,4,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,14,1,0,2,0,0,0,0,4,0,1,0,0,0,0,11,9,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\jdbc\StatementLogger.java,org.apache.ibatis.logging.jdbc.StatementLogger,class,34,5,7,2,5,12,2,0,13,0,0.25,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,4,44,7,0,2,1,0,3,1,5,1,5,3,0,0,0,51,17,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\type\OffsetTimeTypeHandler.java,org.apache.ibatis.type.OffsetTimeTypeHandler,class,28,2,3,1,2,4,3,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\raw_sql_source\RawSqlSourceTest.java,org.apache.ibatis.submitted.raw_sql_source.RawSqlSourceTest,class,32,8,9,1,8,5,1,0,16,8,0.6,0.0,0.0,5,1,0,1,0,4,4,0,0,0,1,1,0,1,0,0,0,0,0,27,0,0,0,2,0,7,1,5,0,5,1,0,0,0,39,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\scripting\defaults\DefaultParameterHandlerTest.java,org.apache.ibatis.scripting.defaults.DefaultParameterHandlerTest,class,46,13,14,1,13,3,1,0,19,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,37,1,0,0,1,0,7,0,10,0,10,1,1,0,0,46,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\domain\misc\Employee.java,org.apache.ibatis.domain.misc.Employee,class,20,0,0,0,0,16,1,0,0,104,0.875,0.06666667,0.06666667,16,0,16,0,0,0,16,0,0,0,8,0,0,8,0,0,0,0,0,58,8,0,0,0,0,0,0,8,0,8,0,0,0,0,18,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\executor\loader\javassist\JavassistSerialStateHolder.java,org.apache.ibatis.executor.loader.javassist.JavassistSerialStateHolder,class,28,4,6,2,4,3,2,0,1,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,0,11,1,0,0,0,0,0,1,1,0,1,0,0,0,0,21,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\executor\ExecutorTestHelper.java,org.apache.ibatis.executor.ExecutorTestHelper$Anonymous369,anonymous,369,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\type\BooleanTypeHandler.java,org.apache.ibatis.type.BooleanTypeHandler,class,26,2,4,2,2,10,3,0,6,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,3,0,3,0,0,0,0,27,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\discriminator\Car.java,org.apache.ibatis.submitted.discriminator.Car,class,19,1,2,1,1,2,2,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\result_handler_type\DefaultResultHandlerTypeTest.java,org.apache.ibatis.submitted.result_handler_type.DefaultResultHandlerTypeTest,class,31,6,7,1,6,4,1,0,17,6,0.0,0.0,0.0,4,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,4,0,10,3,15,0,15,1,0,0,0,36,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\io\ResolverUtil.java,org.apache.ibatis.io.ResolverUtil,class,61,8,12,4,8,20,1,0,23,22,0.75,0.10714286,0.14285715,8,0,6,0,2,0,8,0,0,0,3,1,0,3,0,0,1,0,3,95,8,3,4,2,0,10,1,10,3,10,3,0,3,0,220,1,3
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\autodiscover\mappers\DummyMapper.java,org.apache.ibatis.submitted.autodiscover.mappers.DummyMapper,interface,18,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\executor\ExecutorTestHelper.java,org.apache.ibatis.executor.ExecutorTestHelper$Anonymous432$Anonymous435,anonymous,435,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\cursor\defaults\DefaultCursor.java,org.apache.ibatis.cursor.defaults.DefaultCursor$ObjectWrapperResultHandler,innerclass,169,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,12,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\builder\annotation\MapperAnnotationBuilder.java,org.apache.ibatis.builder.annotation.MapperAnnotationBuilder$AnnotationWrapper,innerclass,671,11,11,0,11,14,1,0,10,0,0.5,0.5,1.0,4,0,0,0,0,4,4,0,0,0,3,0,0,3,0,0,3,0,0,62,3,0,0,0,10,1,0,21,0,3,2,0,0,0,18,2,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\optional_on_mapper_method\Mapper.java,org.apache.ibatis.submitted.optional_on_mapper_method.Mapper,interface,22,2,3,1,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\typehandler\Product.java,org.apache.ibatis.submitted.typehandler.Product$ProductIdTypeHandler,innerclass,70,3,3,0,3,4,2,0,6,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,3,0,3,0,0,0,0,25,9,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\order_prefix_removed\Person.java,org.apache.ibatis.submitted.order_prefix_removed.Person,class,20,0,2,2,0,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,12,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\executor\resultset\DefaultResultSetHandlerTest2.java,org.apache.ibatis.executor.resultset.DefaultResultSetHandlerTest2$Anonymous72$Anonymous74,anonymous,74,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\nested_query_cache\BlogMapper.java,org.apache.ibatis.submitted.nested_query_cache.BlogMapper,interface,20,1,2,1,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\executor\BatchExecutor.java,org.apache.ibatis.executor.BatchExecutor,class,41,15,17,2,15,15,2,0,39,8,0.67999995,0.1,0.1,5,0,4,0,1,0,5,0,0,0,5,1,1,4,0,0,3,0,1,109,5,3,0,3,0,5,5,35,3,32,5,0,0,0,86,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\sqlprovider\ProviderMethodResolutionTest.java,org.apache.ibatis.submitted.sqlprovider.ProviderMethodResolutionTest$DefaultProvideMethodResolverReturnTypeMatchedMethodIsNoneMapper$MethodResolverBasedSqlProvider,innerclass,216,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\array_result_type\Mapper.java,org.apache.ibatis.submitted.array_result_type.Mapper,interface,20,3,4,1,3,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\BooleanTypeHandlerTest.java,org.apache.ibatis.type.BooleanTypeHandlerTest,class,25,4,4,0,4,7,2,0,13,0,0.0,1.0,1.0,7,0,7,0,0,0,7,0,0,0,1,1,0,1,0,0,1,0,0,37,0,0,0,0,0,5,12,1,0,1,0,0,0,0,36,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\extends_with_constructor\StudentConstructor.java,org.apache.ibatis.submitted.extends_with_constructor.StudentConstructor$Constructor,enum,22,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\repeatable\Mapper.java,org.apache.ibatis.submitted.repeatable.Mapper$DerbySqlProvider,innerclass,112,0,0,0,0,4,1,0,0,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,31,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\automapping\Book.java,org.apache.ibatis.submitted.automapping.Book,class,18,0,2,2,0,2,1,0,0,0,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,1,1,0,0,1,0,0,10,1,0,0,0,0,0,1,2,0,2,0,0,0,0,7,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\cursor_nested\Mapper.java,org.apache.ibatis.submitted.cursor_nested.Mapper,interface,20,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\type\YearTypeHandler.java,org.apache.ibatis.type.YearTypeHandler,class,28,2,3,1,2,10,3,0,8,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,17,3,0,3,0,0,0,3,3,0,3,0,0,0,0,26,1,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\reflection\ReflectorTest.java,org.apache.ibatis.reflection.ReflectorTest$Child,innerclass,173,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\session\SqlSessionManager.java,org.apache.ibatis.session.SqlSessionManager$SqlSessionInterceptor,innerclass,340,3,3,0,3,5,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,28,2,0,1,3,0,0,0,3,0,3,3,0,0,0,16,2,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\mapping\MappedStatement.java,org.apache.ibatis.mapping.MappedStatement,class,34,13,50,37,13,34,1,0,11,341,0.95491153,0.015384615,0.033846155,27,1,25,1,0,1,26,0,0,0,23,0,0,23,0,0,0,0,0,230,27,1,5,0,0,1,1,6,0,27,3,0,1,0,72,17,0
